gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
ACAN,0.531231,0.844901,0.955324,0.991962,0.911599,0.944666,0.888236,0.889695
ACAP1,0.997532,1.00265,0.0124733,0.621063,0.91544,1.13483,0.993562,1.13521
ACAP2,0.590392,1.16756,0.147574,1.17689,0.855251,1.11318,0.997914,1.02842
ACAP3,0.867867,0.957214,0.228588,0.888037,0.984502,0.985898,0.997914,0.988441
ACAT1,0.772083,1.0989,0.475313,0.898603,0.956142,0.957453,0.997914,1.01154
ACAT2,0.639165,1.16783,0.890199,1.02892,0.929478,1.07393,0.977537,1.12319
ACBD3,0.547949,1.10341,0.00787587,1.14589,0.920184,1.03306,0.6194,1.11933
ACBD4,0.735274,0.9368,0.00231648,0.806021,0.881303,0.938802,0.997292,0.96953
ACBD5,0.946356,1.02232,4.15E-05,1.45513,0.998062,1.00092,0.997636,1.04045
ACBD6,0.924714,1.05191,0.00352749,0.630552,0.788288,0.805293,0.997914,0.948212
ACBD7,0.633179,0.869223,0.255528,0.868006,0.642663,0.816213,0.888045,0.857109
ACCS,0.555148,0.865044,0.93269,1.01179,0.955747,0.970968,0.997914,0.986806
ACCSL,0.674776,1.159,0.896879,0.971547,0.989195,0.984269,0.993608,1.09077
ACD,0.785166,0.93973,0.0019546,0.777304,0.904687,0.941335,0.997914,0.984081
ACE,0.569756,0.879418,0.170291,1.12546,0.926081,0.954499,0.997914,0.988591
ACE2,0.586593,0.919742,0.709121,0.971228,0.977836,0.988302,0.997914,0.984785
ACER1,0.567755,0.856339,0.125561,0.858245,0.825616,0.896138,0.999088,1.00258
ACER2,0.586039,0.895688,0.0726104,0.873078,0.475046,0.846404,0.733311,0.872051
ACER3,0.691153,1.12079,2.59E-07,1.7609,0.499728,1.27726,0.997914,1.01451
ACHE,0.556605,0.866145,0.622359,0.948061,0.84929,0.917699,0.997914,0.970046
ACIN1,0.551176,1.10185,0.660501,1.03189,0.765749,1.07698,0.983981,1.04566
ACKR1,0.668903,0.904392,0.983766,1.00324,0.986269,0.986899,0.997914,0.981123
ACKR2,0.571832,0.889482,0.837694,0.976805,0.934912,1.04004,0.98961,1.05467
ACKR3,0.516748,1.29777,0.983363,1.00433,0.903004,1.08784,0.761855,1.22896
ACKR4,0.968152,1.01197,0.857709,1.02333,0.692969,1.1457,0.781764,1.15175
ACLY,0.684745,1.07511,0.81253,1.02472,0.933502,1.03751,0.997914,1.01628
ACMSD,0.779786,0.935548,0.903314,1.01817,0.968856,0.976167,0.999011,0.99501
ACO1,0.783745,1.11733,0.168161,0.799237,0.789889,0.820392,0.997914,0.9428
ACO2,0.942202,1.02917,0.632571,0.929127,0.770759,1.17372,0.979266,1.11061
ACOT1,0.837844,0.941799,0.462372,0.911095,0.958472,1.03654,0.960497,1.11392
ACOT11,0.689443,0.913978,0.8731,1.02237,0.883018,0.929044,0.992034,0.943338
ACOT12,0.45766,0.82098,0.308012,0.917722,0.634277,0.872694,0.991356,0.95093
ACOT13,0.66375,1.18753,0.0020181,1.56698,0.853524,1.16869,0.934274,1.19834
ACOT4,0.946058,0.977576,0.258501,0.884005,0.755489,1.15041,0.997914,1.02562
ACOT7,0.593794,0.888693,0.502566,0.933935,0.755489,0.889307,0.993745,0.950126
ACOT8,0.755173,0.928918,0.544466,0.9334,0.99015,0.991391,0.994119,0.953991
ACOT9,0.920341,1.05722,0.000173157,1.85923,0.84471,1.2012,0.995877,1.08739
ACOX1,0.754685,1.09395,0.28942,1.13901,0.98676,0.984748,0.997914,1.01924
ACOX2,0.685062,0.930259,0.643713,1.04325,0.727302,1.11187,0.997914,0.99385
ACOX3,0.997297,1.00071,0.476436,1.0432,0.735582,1.07483,0.708857,1.09736
ACOXL,0.691249,0.925609,0.9704,1.00492,0.993432,0.995866,0.993745,1.04664
ACP1,0.963401,1.01764,0.0182062,0.784473,0.982289,1.01883,0.874671,1.16242
ACP2,0.85811,1.09772,1.49E-11,3.80628,0.212582,1.73941,0.997914,1.05734
ACP5,0.935058,1.11874,0.00670298,2.95496,0.9245,1.27753,0.995877,1.22097
ACP6,0.888455,1.0399,2.32E-07,0.624783,0.822519,0.897028,0.949255,1.10745
ACPP,0.916683,1.09195,0.891624,1.06018,0.834604,1.33965,0.999058,1.01271
ACPT,0.569756,0.81755,0.983363,1.00461,0.87585,0.896294,0.993753,0.933468
ACR,0.596278,0.860072,0.184195,0.859104,0.867435,0.904619,0.868517,0.857607
ACRBP,0.952536,0.963633,0.930812,0.974295,0.822925,1.23217,0.995966,0.921265
ACRC,0.648186,0.927586,0.0342396,0.874644,0.971446,0.983991,0.792685,1.1132
ACRV1,0.697595,0.95424,0.142359,1.07571,0.91908,1.02962,0.997914,1.01573
ACSBG1,0.529777,0.846142,0.973668,0.995263,0.804298,0.901735,0.908123,0.897276
ACSBG2,0.525981,0.871663,0.663705,0.962745,0.979137,1.01305,0.993745,1.04134
ACSF2,0.753425,1.10438,0.393706,0.886783,0.909359,1.08569,0.995966,0.944573
ACSF3,0.907302,1.02745,0.192951,0.900154,0.964436,1.02307,0.995966,1.03417
ACSL1,0.642568,1.19147,7.26E-12,3.00274,0.691526,1.27088,0.99451,1.07562
ACSL3,0.556605,1.28478,4.42E-05,1.75226,0.636757,1.30182,0.994119,1.07862
ACSL4,0.896283,1.06045,2.79E-05,1.80136,0.826342,1.18492,0.993745,0.917871
ACSL5,0.598746,1.13595,0.000653085,1.33981,0.828682,1.10878,0.992352,1.06118
ACSL6,0.960237,1.01866,0.73796,0.952124,0.938598,0.949334,0.922373,1.13605
ACSM1,0.707723,0.908821,0.774334,1.04171,0.903622,1.07269,0.999088,1.00211
ACSM2B,0.956718,1.04594,0.404833,1.25855,0.979921,0.955246,0.890186,1.37573
ACSM3,0.688433,1.11468,2.53E-05,0.655084,0.665553,0.832625,0.997914,0.971695
ACSM5,0.563871,0.869566,0.694362,1.04637,0.935181,1.04484,0.964103,0.918804
ACSM6,0.562795,0.885729,0.415049,0.932465,0.901743,0.948724,0.99742,0.970464
ACSS1,0.906539,1.04453,0.0948088,0.814222,0.963878,0.963775,0.99902,0.993543
ACSS2,0.877256,1.06358,0.101463,1.25606,0.815957,1.17498,0.997914,1.04335
ACSS3,0.549767,0.878848,0.962963,0.994437,0.9666,0.979837,0.997914,0.976097
ACTA1,0.710165,0.914599,0.303511,0.897324,0.830317,0.899579,0.957352,0.907313
ACTA2,0.955221,1.03263,0.199211,1.25427,0.892627,1.13617,0.997914,1.0242
ACTB,0.96591,1.06204,0.74932,0.837552,0.977581,1.08579,0.999088,1.01356
ACTC1,0.979743,1.00746,0.981113,0.996869,0.977829,0.984451,0.997914,0.987313
ACTG1,0.909474,1.05204,0.00182809,0.655326,0.967462,0.960452,0.997914,0.953967
ACTG2,0.884062,0.96393,0.905473,1.0166,0.913252,0.946067,0.997914,0.990136
ACTL6A,0.586244,1.1782,0.342955,0.886544,0.935945,0.944522,0.994119,1.0591
ACTL6B,0.566405,0.870111,0.756285,0.963039,0.908642,0.943288,0.997914,0.991932
ACTL7A,0.544994,0.767795,0.615379,0.911544,0.823247,0.848564,0.967231,0.870189
ACTL7B,0.948676,1.03655,0.267108,1.2213,0.907638,1.11909,0.997914,0.95263
ACTL8,0.794842,0.908617,0.842258,1.04276,0.90786,0.909648,0.997914,0.960886
ACTL9,0.555148,0.781429,0.699262,0.928078,0.984412,0.977943,0.993745,0.925036
ACTN1,0.961246,1.02147,0.0328211,0.773141,0.930769,0.935655,0.984213,0.906944
ACTN2,0.569756,0.901172,0.853658,0.981696,0.99535,0.997509,0.997914,0.976839
ACTN3,0.529079,0.850436,0.463046,0.930874,0.902915,0.9436,0.946777,0.914085
ACTN4,0.970676,1.01052,0.657824,1.04684,0.612324,1.15711,0.993745,1.04942
ACTR10,0.679413,1.1261,0.42481,1.11147,0.997083,1.00198,0.997914,0.969453
ACTR1A,0.638704,1.04634,1.55E-07,1.21059,0.946372,1.01597,0.819422,0.94185
ACTR1B,0.780707,1.07132,0.14474,0.866168,0.858541,0.9123,0.993753,0.951602
ACTR2,0.731501,1.10794,0.672706,0.936384,0.949222,1.0473,0.994509,1.0599
ACTR3,0.591741,1.20283,0.067345,1.2673,0.872878,1.12129,0.997914,1.02897
ACTR3B,0.798872,1.07665,3.32E-05,0.653728,0.765749,0.861006,0.995966,0.952505
ACTR3C,0.687612,1.08095,0.637385,1.04799,0.989379,0.991738,0.944111,1.08859
ACTR5,0.994674,1.00227,0.58233,0.945539,0.848522,1.08602,0.845067,1.12916
ACTR6,0.731008,1.31244,0.760008,0.875248,0.989379,1.03421,0.993608,1.21622
ACTR8,0.589076,1.17189,0.572851,1.08098,0.865811,1.10768,0.728707,1.22161
ACTRT1,0.756618,0.926614,0.941083,0.988447,0.926081,1.05569,0.99557,1.04639
ACTRT2,0.749405,0.890739,0.990259,1.00271,0.997256,0.998197,0.997914,1.04878
ACTRT3,0.643677,0.875974,0.718962,1.0571,0.672095,1.20867,0.997914,0.981869
ACVR1,0.541213,1.14459,0.0106614,1.19206,0.920723,0.957638,0.997914,1.02124
ACVR1B,0.960558,0.984686,6.35E-07,1.52718,0.579445,1.18898,0.997914,1.01358
ACVR2A,0.766713,1.16998,0.9165,0.96564,0.982087,0.964996,0.993745,1.12276
ACVR2B,0.626105,1.10083,0.00224333,0.803339,0.984695,1.01169,0.993608,1.04846
ACVRL1,0.622646,0.877048,0.0354433,1.23661,0.95176,1.04011,0.995966,0.955834
ACY1,0.70077,0.912849,0.0227889,0.813432,0.896291,0.932891,0.997914,0.986145
ACY3,0.616324,0.895719,0.258344,0.900695,0.89818,1.06391,0.997914,0.969587
ACYP1,0.777164,0.876975,0.343023,0.826448,0.988836,1.02098,0.995966,1.08391
ACYP2,0.994568,0.997013,0.000510549,0.713108,0.482066,0.795564,0.991973,0.933821
ADA,0.995482,1.00534,0.118172,1.42489,0.798455,1.31849,0.997914,1.02866
ADAD1,0.59699,0.788357,0.687963,0.911955,0.735529,0.779709,0.773996,0.747756
ADAD2,0.571203,0.849345,0.50829,0.91849,0.868389,0.907727,0.994235,0.948592
ADAL,0.799034,1.06845,0.395174,0.90806,0.955163,1.03557,0.957255,1.10763
ADAM10,0.818373,1.10797,0.193297,1.25904,0.890244,1.14003,0.997914,1.03666
ADAM11,0.539699,0.855722,0.768518,0.966182,0.938598,0.96008,0.994945,0.960754
ADAM12,0.58058,0.88926,0.548713,0.942547,0.795423,0.904724,0.977845,0.931912
ADAM15,0.967454,0.970588,0.75324,0.913537,0.930925,0.895364,0.997914,0.967803
ADAM17,0.562795,1.19986,8.13E-07,1.67734,0.77132,1.15966,0.989896,1.07773
ADAM18,0.852553,0.977087,0.906001,0.991536,0.956609,0.984817,0.991366,1.02976
ADAM19,0.940435,1.02514,0.207309,0.873774,0.539481,0.813526,0.997914,0.978864
ADAM2,0.419224,0.897618,0.00529133,0.901849,0.466466,0.915985,0.923692,0.954014
ADAM20,0.551176,0.867965,0.951405,0.992044,0.854505,0.923944,0.993753,0.958178
ADAM21,0.313449,0.802595,0.189569,0.908671,0.98199,0.987903,0.722199,0.881007
ADAM22,0.743953,1.06161,0.0181811,0.850221,0.717738,0.895898,0.997914,1.02022
ADAM23,0.983568,0.993759,0.000452803,0.765682,0.49465,0.838497,0.999088,1.00339
ADAM28,0.837294,1.13134,0.327226,0.78631,0.858541,0.808726,0.997914,1.09121
ADAM29,0.826533,0.952676,0.813729,0.972014,0.967285,1.02315,0.747423,1.1564
ADAM30,0.754725,0.942833,0.824799,1.02426,0.950397,0.972091,0.995966,0.968408
ADAM32,0.874191,1.02374,0.116822,1.08584,0.773394,1.07113,0.960036,1.05339
ADAM33,0.613923,0.882315,0.76258,0.960054,0.920702,0.944139,0.967231,0.911297
ADAM5,0.525981,0.902122,0.18609,0.931944,0.99863,1.00035,0.968877,0.953673
ADAM6,0.738735,1.11906,4.33E-05,0.60486,0.727991,0.82048,0.725414,1.2728
