Gen,Condicion,Cx1,Cx2,Cx3,T1,T2,T3
hsa-miR-384-000574,Target,35,29.8287,35,35,35,35
hsa-miR-409-5p-002331,Target,27.1826,30.698,31.6619,27.8899,27.9703,33
hsa-miR-410-001274,Target,26.0595,31.5049,31.9588,25.4916,25.9439,31.5392
hsa-miR-411-001610,Target,22.1621,26.7104,26.4457,21.9709,22.8095,26.5967
hsa-miR-412-001023,Target,35,35,35,35,35,35
hsa-miR-422a-002297,Target,29.4427,28.4252,28.9237,29.5105,29.2054,29.0271
hsa-miR-423-5p-002340,Target,27.6129,27.48,27.7648,27.9799,27.8602,27.6757
hsa-miR-424-000604,Target,31.2845,29.7972,29.9342,30.7362,31.5915,29.9594
hsa-miR-425-5p-001516,Target,25.7417,23.6388,23.7988,25.7829,25.4497,23.9852
hsa-miR-429-001024,Target,33.0003,35,35,32.8334,32.3062,32.1144
hsa-miR-431-001979,Target,22.8577,20.6408,21.0244,22.9494,23.595,21.1621
hsa-miR-433-001028,Target,25.9636,27.521,29.0199,25.9846,26.9629,28.4184
hsa-miR-448-001029,Target,35,35,35,35,35,35
hsa-miR-449-001030,Target,34.1894,27.8508,28.5824,34.9406,34.6609,28.9957
hsa-miR-449b-001608,Target,33.9638,27.2243,27.5776,31.0673,31.9213,27.9937
hsa-miR-450a-002303,Target,30.1365,30.1336,31.0002,30.973,30.6525,30.4602
hsa-miR-450b-3p-002208,Target,35,35,35,35,35,35
hsa-miR-450b-5p-002207,Target,26.2167,35,35,35,35,35
hsa-miR-452-002329,Target,26.075,35,35,25.9957,26.4134,33.5673
hsa-miR-453-002318,Target,33.3558,35,35,32.4231,33.079,35
hsa-miR-454-002323,Target,24.1302,24.6817,24.4914,23.7072,23.9426,24.9581
hsa-miR-455-001280,Target,25.7999,26.5173,26.9021,25.9874,26.8834,26.6975
hsa-miR-455-3p-002244,Target,25.0864,24.0141,24.3662,24.9747,24.9328,23.958
hsa-miR-483-5p-002338,Target,31.8738,31.7597,30.9242,30.9578,29.3104,30.9793
hsa-miR-484-001821,Target,20.5453,20.4256,20.6426,20.6297,21.9716,20.8213
hsa-miR-485-3p-001277,Target,24.5997,29.4569,29.4626,24.746,25.9544,29.9647
hsa-miR-485-5p-001036,Target,24.9499,35,35,24.3365,25.309,35
hsa-miR-486-001278,Target,21.701,26.6083,26.1205,21.9375,20.7722,26.1488
hsa-miR-486-3p-002093,Target,35,35,35,35,35,35
hsa-miR-487a-001279,Target,27.2193,30.9082,35,27.0287,28.2653,35
hsa-miR-487b-001285,Target,23.9417,29.0236,29.7297,23.9834,24.3656,29.395
hsa-miR-488-002357,Target,35,35,35,35,35,35
hsa-miR-489-002358,Target,29.4393,28.9649,28.9872,28.9475,28.1337,28.9279
